Illumina_index_set,Illumina_source_well,Lib_plate_name,Lib_plate_ID,Lib_plate_well,Primer_volume_(uL)
PE18,H11,BP9735_FULL.1,hXUPVQ-6,P21,2
PE18,A12,BP9735_FULL.1,hXUPVQ-6,B23,2
PE18,B12,BP9735_FULL.1,hXUPVQ-6,D23,2
PE18,C12,BP9735_FULL.1,hXUPVQ-6,F23,2
PE18,D12,BP9735_FULL.1,hXUPVQ-6,H23,2
PE18,E12,BP9735_FULL.1,hXUPVQ-6,J23,2
PE18,F12,BP9735_FULL.1,hXUPVQ-6,L23,2
PE18,G12,BP9735_FULL.1,hXUPVQ-6,N23,2
PE18,H12,BP9735_FULL.1,hXUPVQ-6,P23,2
PE19,A1,BP9735_FULL.1,hXUPVQ-6,A2,2
PE19,B1,BP9735_FULL.1,hXUPVQ-6,C2,2
PE19,C1,BP9735_FULL.1,hXUPVQ-6,E2,2
PE19,D1,BP9735_FULL.1,hXUPVQ-6,G2,2
PE19,E1,BP9735_FULL.1,hXUPVQ-6,I2,2
PE19,F1,BP9735_FULL.1,hXUPVQ-6,K2,2
PE19,G1,BP9735_FULL.1,hXUPVQ-6,M2,2
PE19,H1,BP9735_FULL.1,hXUPVQ-6,O2,2
PE19,A2,BP9735_FULL.1,hXUPVQ-6,A4,2
PE19,B2,BP9735_FULL.1,hXUPVQ-6,C4,2
PE19,C2,BP9735_FULL.1,hXUPVQ-6,E4,2
PE19,D2,BP9735_FULL.1,hXUPVQ-6,G4,2
PE19,E2,BP9735_FULL.1,hXUPVQ-6,I4,2
PE19,F2,BP9735_FULL.1,hXUPVQ-6,K4,2
PE19,G2,BP9735_FULL.1,hXUPVQ-6,M4,2
PE19,H2,BP9735_FULL.1,hXUPVQ-6,O4,2
PE19,A3,BP9735_FULL.1,hXUPVQ-6,A6,2
PE19,B3,BP9735_FULL.1,hXUPVQ-6,C6,2
PE19,C3,BP9735_FULL.1,hXUPVQ-6,E6,2
PE19,D3,BP9735_FULL.1,hXUPVQ-6,G6,2
PE19,E3,BP9735_FULL.1,hXUPVQ-6,I6,2
PE19,F3,BP9735_FULL.1,hXUPVQ-6,K6,2
PE19,G3,BP9735_FULL.1,hXUPVQ-6,M6,2
PE19,H3,BP9735_FULL.1,hXUPVQ-6,O6,2
PE19,A4,BP9735_FULL.1,hXUPVQ-6,A8,2
PE19,B4,BP9735_FULL.1,hXUPVQ-6,C8,2
PE19,C4,BP9735_FULL.1,hXUPVQ-6,E8,2
PE19,D4,BP9735_FULL.1,hXUPVQ-6,G8,2
PE19,E4,BP9735_FULL.1,hXUPVQ-6,I8,2
PE19,F4,BP9735_FULL.1,hXUPVQ-6,K8,2
PE19,G4,BP9735_FULL.1,hXUPVQ-6,M8,2
PE19,H4,BP9735_FULL.1,hXUPVQ-6,O8,2
PE19,A5,BP9735_FULL.1,hXUPVQ-6,A10,2
PE19,B5,BP9735_FULL.1,hXUPVQ-6,C10,2
PE19,C5,BP9735_FULL.1,hXUPVQ-6,E10,2
PE19,D5,BP9735_FULL.1,hXUPVQ-6,G10,2
PE19,E5,BP9735_FULL.1,hXUPVQ-6,I10,2
PE19,F5,BP9735_FULL.1,hXUPVQ-6,K10,2
PE19,G5,BP9735_FULL.1,hXUPVQ-6,M10,2
PE19,H5,BP9735_FULL.1,hXUPVQ-6,O10,2
PE19,A6,BP9735_FULL.1,hXUPVQ-6,A12,2
PE19,B6,BP9735_FULL.1,hXUPVQ-6,C12,2
PE19,C6,BP9735_FULL.1,hXUPVQ-6,E12,2
PE19,D6,BP9735_FULL.1,hXUPVQ-6,G12,2
PE19,E6,BP9735_FULL.1,hXUPVQ-6,I12,2
PE19,F6,BP9735_FULL.1,hXUPVQ-6,K12,2
PE19,G6,BP9735_FULL.1,hXUPVQ-6,M12,2
PE19,H6,BP9735_FULL.1,hXUPVQ-6,O12,2
PE19,A7,BP9735_FULL.1,hXUPVQ-6,A14,2
PE19,B7,BP9735_FULL.1,hXUPVQ-6,C14,2
PE19,C7,BP9735_FULL.1,hXUPVQ-6,E14,2
PE19,D7,BP9735_FULL.1,hXUPVQ-6,G14,2
PE19,E7,BP9735_FULL.1,hXUPVQ-6,I14,2
PE19,F7,BP9735_FULL.1,hXUPVQ-6,K14,2
PE19,G7,BP9735_FULL.1,hXUPVQ-6,M14,2
PE19,H7,BP9735_FULL.1,hXUPVQ-6,O14,2
PE19,A8,BP9735_FULL.1,hXUPVQ-6,A16,2
PE19,B8,BP9735_FULL.1,hXUPVQ-6,C16,2
PE19,C8,BP9735_FULL.1,hXUPVQ-6,E16,2
PE19,D8,BP9735_FULL.1,hXUPVQ-6,G16,2
PE19,E8,BP9735_FULL.1,hXUPVQ-6,I16,2
PE19,F8,BP9735_FULL.1,hXUPVQ-6,K16,2
PE19,G8,BP9735_FULL.1,hXUPVQ-6,M16,2
PE19,H8,BP9735_FULL.1,hXUPVQ-6,O16,2
PE19,A9,BP9735_FULL.1,hXUPVQ-6,A18,2
PE19,B9,BP9735_FULL.1,hXUPVQ-6,C18,2
PE19,C9,BP9735_FULL.1,hXUPVQ-6,E18,2
PE19,D9,BP9735_FULL.1,hXUPVQ-6,G18,2
PE19,E9,BP9735_FULL.1,hXUPVQ-6,I18,2
PE19,F9,BP9735_FULL.1,hXUPVQ-6,K18,2
PE19,G9,BP9735_FULL.1,hXUPVQ-6,M18,2
PE19,H9,BP9735_FULL.1,hXUPVQ-6,O18,2
PE19,A10,BP9735_FULL.1,hXUPVQ-6,A20,2
PE19,B10,BP9735_FULL.1,hXUPVQ-6,C20,2
PE19,C10,BP9735_FULL.1,hXUPVQ-6,E20,2
PE19,D10,BP9735_FULL.1,hXUPVQ-6,G20,2
PE19,E10,BP9735_FULL.1,hXUPVQ-6,I20,2
PE19,F10,BP9735_FULL.1,hXUPVQ-6,K20,2
PE19,G10,BP9735_FULL.1,hXUPVQ-6,M20,2
PE19,H10,BP9735_FULL.1,hXUPVQ-6,O20,2
PE19,A11,BP9735_FULL.1,hXUPVQ-6,A22,2
PE19,B11,BP9735_FULL.1,hXUPVQ-6,C22,2
PE19,C11,BP9735_FULL.1,hXUPVQ-6,E22,2
PE19,D11,BP9735_FULL.1,hXUPVQ-6,G22,2
PE19,E11,BP9735_FULL.1,hXUPVQ-6,I22,2
PE19,F11,BP9735_FULL.1,hXUPVQ-6,K22,2
PE19,G11,BP9735_FULL.1,hXUPVQ-6,M22,2
PE19,H11,BP9735_FULL.1,hXUPVQ-6,O22,2
