Plate_ID,Well_Row,Well_Col,Well,Sample,Type,number_of_cells/capsules,Group_1,Group_2,Group_3
BP9735_FULL.1,F,24,F24,FULL,neg_cntrl,0,empty,,
BP9735_FULL.1,G,24,G24,FULL,neg_cntrl,0,empty,,
BP9735_FULL.1,H,24,H24,FULL,neg_cntrl,0,empty,,
BP9735_FULL.1,I,24,I24,FULL,pos_cntrl,,Ecoli_DNA,,
BP9735_FULL.1,J,24,J24,FULL,pos_cntrl,,Ecoli_DNA,,
BP9735_FULL.1,K,24,K24,FULL,pos_cntrl,,Ecoli_DNA,,
BP9735_FULL.1,L,24,L24,FULL,pos_cntrl,,Ecoli_DNA,,
BP9735_FULL.1,M,24,M24,FULL,unused,,,,
BP9735_FULL.1,N,24,N24,FULL,unused,,,,
BP9735_FULL.1,O,24,O24,FULL,unused,,,,
BP9735_FULL.1,P,24,P24,FULL,unused,,,,
