Plate_ID,Well,Sample,Type,number_of_cells/capsules,Group_1,Group_2,Group_3,Index_Set,Index_Well,Index_Name,Plate_Barcode,FA_Well,dilution_factor,ng/uL,nmole/L,Avg. Size,Passed_library,Failed_index_sets,Redo_whole_plate,selected_for_pooling
BP9735_SitukAM.1,L8,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,M8,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,N8,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,O8,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,P8,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,A9,SitukAM,sample,1.0,Bright,,,PE18,A5,PE18_A05,XUPVQ-1,A5,20.0,1.19,3.23,606.0,1.0,[],0.0,1
BP9735_SitukAM.1,B9,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,C9,SitukAM,sample,1.0,Bright,,,PE18,B5,PE18_B05,XUPVQ-1,B5,20.0,0.69,1.788,634.0,0.0,[],0.0,0
BP9735_SitukAM.1,D9,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,E9,SitukAM,sample,1.0,Bright,,,PE18,C5,PE18_C05,XUPVQ-1,C5,20.0,0.658,1.808,600.0,0.0,[],0.0,0
BP9735_SitukAM.1,F9,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,G9,SitukAM,sample,1.0,Bright,,,PE18,D5,PE18_D05,XUPVQ-1,D5,20.0,0.63,1.62,639.0,0.0,[],0.0,0
BP9735_SitukAM.1,H9,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,I9,SitukAM,sample,1.0,Bright,,,PE18,E5,PE18_E05,XUPVQ-1,E5,20.0,1.414,3.756,620.0,1.0,[],0.0,1
BP9735_SitukAM.1,J9,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,K9,SitukAM,sample,1.0,Bright,,,PE18,F5,PE18_F05,XUPVQ-1,F5,20.0,1.414,3.746,621.0,1.0,[],0.0,1
BP9735_SitukAM.1,L9,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,M9,SitukAM,sample,1.0,Bright,,,PE18,G5,PE18_G05,XUPVQ-1,G5,20.0,3.66,9.922,607.0,1.0,[],0.0,1
BP9735_SitukAM.1,N9,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,O9,SitukAM,sample,1.0,Bright,,,PE18,H5,PE18_H05,XUPVQ-1,H5,20.0,2.494,6.766,606.0,1.0,[],0.0,1
BP9735_SitukAM.1,P9,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,A10,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,B10,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,C10,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,D10,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,E10,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,F10,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,G10,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,H10,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
